id_alumne,P1,DDB,IO,ALGE,CAL,MD,FIS,ALGO,P2,ED,ELEC,AA,DS,EC,ICC,EMP,PIE,PAE,PIS,SO1,IA,SO2,TNUI,VA,XAR,BD,FHIC,GiVD,LIL,SWD
498,6.5,6.7,5.1,5.8,8.0,5.0,6.0,5.6,5.8,7.4,6.9,7.0,6.1,5.0,7.2,6.6,6.8,7.4,6.5,6.4,7.0,8.5,7.0,6.9,4.9,5.9,6.2,5.5,6.5,6.7
500,,,,2.0,3.7,,,3.3,,,,,,,,,,,,,,,,,,,,,,
501,0.7,3.5,,2.3,5.0,1.0,3.1,5.6,0.3,,,,,,,,,,,,,,,,,,,,,
503,,,2.3,2.6,4.0,2.3,4.1,3.8,,4.0,,,,,,,,,,,,,,,,,,,,
504,6.0,,,,7.0,,,2.8,6.0,6.0,,,6.0,,,,,,6.0,,,,,,,6.0,,,,
506,6.0,6.8,5.0,1.9,8.1,5.2,5.0,5.8,6.0,6.0,5.0,7.0,3.1,6.0,4.6,6.4,5.8,7.4,7.0,2.7,5.0,7.4,5.6,5.7,6.0,6.0,6.3,5.3,6.4,4.3
507,0.6,,,,6.0,,,5.2,,,,,,,,,,,,,,,,,,,,,,
508,2.4,1.5,3.5,2.3,5.7,2.3,3.5,5.0,3.3,4.0,4.9,5.3,6.4,5.0,2.8,6.4,4.0,7.0,8.5,3.7,4.2,,0.4,,1.0,,,,,
510,,6.8,,,,3.0,5.0,0.9,,,,,,,,,,,,,,,,,,,,,,
511,5.4,5.0,6.1,5.9,8.5,5.0,6.7,8.0,7.5,7.1,5.0,7.0,1.8,5.0,6.8,7.2,7.8,7.0,8.0,6.0,6.3,7.2,7.3,6.2,7.6,5.6,7.2,3.4,6.6,3.1
513,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
516,5.5,7.0,5.0,5.8,5.0,7.9,6.2,6.5,5.4,6.5,9.3,7.1,6.6,5.0,9.1,8.5,9.1,7.5,7.1,2.1,5.0,7.6,7.2,4.3,7.0,5.8,5.0,5.5,8.6,
517,0.1,4.0,,1.2,6.4,,,2.6,,1.3,,,,,,,,,,,,,,,,,,,,
519,2.2,,,5.0,5.2,2.0,5.1,1.8,,1.1,,,,,,,,,,,,,,,,,,,,
520,2.7,4.0,,3.2,8.2,6.2,7.2,5.0,,1.9,,5.6,,,,,,,,,,,,,,,,,,
521,3.9,5.6,,2.4,5.8,4.3,3.2,5.3,,3.5,,,,,,,,,,,,,,,,,,,,
522,1.3,4.0,3.7,1.7,5.4,2.0,2.7,4.0,0.5,2.9,3.2,,,5.0,,6.1,6.0,8.3,0.0,2.4,,,,,,,5.0,,,
524,6.5,6.5,3.5,5.0,7.8,8.8,7.5,3.5,4.0,2.2,8.1,2.0,8.5,5.0,8.9,1.5,7.0,3.0,7.7,6.1,5.3,5.4,5.3,3.3,2.1,1.5,6.1,,7.3,
525,6.3,5.3,4.1,2.1,4.6,6.0,5.0,6.8,7.5,6.8,3.7,5.0,3.7,2.0,,,3.0,,,6.0,,,,,6.0,6.0,,,,
526,,,,3.0,6.2,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,
527,6.0,6.8,7.5,6.3,7.6,6.3,5.0,6.9,6.0,8.1,5.0,5.0,6.3,5.8,9.2,6.9,7.5,8.0,10.0,6.1,6.2,7.6,6.7,7.4,6.8,6.0,6.0,5.3,,
530,4.0,6.7,3.0,2.7,7.5,8.1,6.8,5.9,5.0,4.6,5.5,5.1,6.0,5.7,7.0,6.5,5.0,7.0,8.3,5.7,5.6,7.0,7.0,6.6,7.5,5.1,5.3,4.0,5.7,6.1
536,6.2,6.1,7.1,4.2,6.3,9.5,7.4,7.7,7.3,6.5,7.5,6.1,6.6,5.5,7.2,6.0,6.7,6.8,7.5,6.5,5.8,7.2,7.0,8.1,1.6,6.8,6.7,7.3,6.6,6.3
537,6.0,6.1,6.1,6.1,6.5,8.2,6.1,5.9,7.4,5.8,8.4,7.0,5.7,5.0,6.8,7.6,5.6,8.3,9.5,6.6,6.8,8.0,7.0,6.7,7.1,6.6,5.5,5.0,7.0,7.4
538,4.1,4.0,5.7,3.5,5.3,0.5,7.4,3.3,2.1,1.4,,,,,,,,,,,,,,,,,,,,
539,6.7,9.4,6.4,5.5,7.2,7.2,6.5,6.7,6.8,7.5,6.5,9.0,8.3,5.0,6.8,6.7,8.5,6.5,8.0,9.0,7.5,9.0,8.1,8.8,7.7,8.0,6.1,8.1,8.5,7.9
544,6.0,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,6.0,6.0,,,,
546,,8.3,7.2,5.4,7.9,8.5,5.2,7.6,,,2.8,5.9,6.5,5.0,7.7,8.1,6.5,7.5,8.0,4.0,7.3,8.0,8.8,7.2,,,6.0,7.0,6.4,6.6
547,,,3.0,,7.6,1.7,2.0,4.0,,,,,,2.9,,5.0,,,,,,,,,,,,,,
548,5.8,8.1,3.5,7.8,7.1,6.2,5.1,5.3,5.4,5.5,4.9,7.0,6.1,,5.4,6.0,,6.8,8.0,,,,,,,,,,,
549,6.0,,,1.3,2.2,2.7,2.0,5.8,6.0,6.0,,,6.0,,,,,,6.0,,,,,,,6.0,,,,
551,6.0,,,,,,,,6.0,6.0,,,6.0,,,,,,6.0,,,,,,,6.0,,,,
553,5.5,7.5,6.6,5.4,7.4,6.4,8.0,4.3,6.6,4.8,6.5,5.1,6.4,5.0,5.1,5.8,5.0,8.2,7.0,3.0,5.0,6.5,5.1,6.7,7.4,6.2,5.0,7.1,6.4,6.1
554,,9.5,7.7,5.0,8.1,5.8,5.2,8.1,,,6.5,5.7,6.2,5.4,5.0,6.9,6.7,7.6,7.0,6.2,6.5,6.0,7.8,5.4,,,6.2,6.0,5.5,7.3
555,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
